Mv,Hc,Skew,Jdp,File
0.998,5.06216,0.0,0.15,7.0
0.998,5.08865,0.0,0.15,8.0
0.998,5.1307,0.0,0.15,9.0
0.998,5.17921,0.0,0.15,10.0
0.998,4.98513,0.0,0.15,11.0
0.998,5.21079,0.0,0.15,12.0
0.998,5.23748,0.0,0.15,13.0
0.998,5.28296,0.0,0.15,14.0
0.998,5.32026,0.0,0.15,15.0
0.998,5.3774,0.0,0.15,16.0
0.998,4.9876,0.0,0.15,17.0
0.998,5.42785,0.0,0.15,18.0
0.998,5.48014,0.0,0.15,19.0
0.998,5.51789,0.0,0.15,20.0
0.998,5.58054,0.0,0.15,21.0
0.998,6.74117,0.0,0.15,22.0
0.998,5.6145,0.0,0.15,23.0
0.998,5.65531,0.0,0.15,24.0
0.998,5.72085,0.0,0.15,25.0
0.998,5.75492,0.0,0.15,26.0
0.998,5.79488,0.0,0.15,27.0
0.998,5.84614,0.0,0.15,28.0
0.998,4.98566,0.0,0.15,29.0
0.998,5.86584,0.0,0.15,30.0
0.998,5.8986,0.0,0.15,31.0
0.998,5.94864,0.0,0.15,32.0
0.998,4.98639,0.0,0.15,33.0
0.998,6.01761,0.0,0.15,34.0
0.998,6.02286,0.0,0.15,35.0
0.998,6.1014,0.0,0.15,36.0
0.998,6.09338,0.0,0.15,37.0
0.998,6.13746,0.0,0.15,38.0
0.998,6.14393,0.0,0.15,39.0
0.998,4.98563,0.0,0.15,40.0
0.998,4.98825,0.0,0.15,41.0
0.996,4.98409,0.0,0.2,0.0
0.998,6.14397,0.0,0.2,1.0
0.998,4.98453,0.0,0.2,2.0
0.998,4.98892,0.0,0.2,3.0
0.998,4.98849,0.0,0.2,4.0
0.996,4.98555,0.0,0.2,5.0
0.998,5.00873,0.0,0.2,6.0
0.998,5.02267,0.0,0.2,7.0
0.998,5.03838,0.0,0.2,8.0
0.998,5.06097,0.0,0.2,9.0
0.998,5.08718,0.0,0.2,10.0
0.998,4.98351,0.0,0.2,11.0
0.998,5.11218,0.0,0.2,12.0
0.998,5.1634,0.0,0.2,13.0
0.998,5.20109,0.0,0.2,14.0
0.998,5.23457,0.0,0.2,15.0
0.998,5.25497,0.0,0.2,16.0
0.998,4.98118,0.0,0.2,17.0
0.998,5.30196,0.0,0.2,18.0
0.998,5.34542,0.0,0.2,19.0
0.998,5.39741,0.0,0.2,20.0
0.998,5.43777,0.0,0.2,21.0
0.998,6.41685,0.0,0.2,22.0
0.998,5.47284,0.0,0.2,23.0
0.998,5.52202,0.0,0.2,24.0
0.998,5.58252,0.0,0.2,25.0
0.998,5.60347,0.0,0.2,26.0
0.998,5.65783,0.0,0.2,27.0
0.998,5.72239,0.0,0.2,28.0
0.998,4.98376,0.0,0.2,29.0
0.998,5.74316,0.0,0.2,30.0
0.998,5.7981,0.0,0.2,31.0
0.998,5.82767,0.0,0.2,32.0
0.998,4.98743,0.0,0.2,33.0
0.998,5.8432,0.0,0.2,34.0
0.998,5.89766,0.0,0.2,35.0
0.998,5.94777,0.0,0.2,36.0
0.998,5.94944,0.0,0.2,37.0
0.998,5.98819,0.0,0.2,38.0
0.998,6.06038,0.0,0.2,39.0
0.998,6.87151,0.0,0.2,40.0
0.998,4.98674,0.0,0.2,41.0
0.998,4.98527,0.0,0.2,42.0
0.976,4.98151,0.0,0.25,0.0
0.998,5.93301,0.0,0.25,1.0
0.998,4.99043,0.0,0.25,2.0
0.998,4.9819,0.0,0.25,3.0
0.998,4.98577,0.0,0.25,4.0
0.982,4.97978,0.0,0.25,5.0
0.998,4.98683,0.0,0.25,6.0
0.998,4.99142,0.0,0.25,7.0
0.998,5.00696,0.0,0.25,8.0
0.998,5.02422,0.0,0.25,9.0
0.998,5.03431,0.0,0.25,10.0
0.996,4.98648,0.0,0.25,11.0
0.998,5.06086,0.0,0.25,12.0
0.998,5.07603,0.0,0.25,13.0
0.998,5.10715,0.0,0.25,14.0
0.998,5.1421,0.0,0.25,15.0
0.998,5.18289,0.0,0.25,16.0
0.99,4.98401,0.0,0.25,17.0
0.998,5.21458,0.0,0.25,18.0
0.998,5.25297,0.0,0.25,19.0
0.998,5.27616,0.0,0.25,20.0
0.998,5.31646,0.0,0.25,21.0
0.998,6.21525,0.0,0.25,22.0
0.998,5.37432,0.0,0.25,23.0
0.998,5.39695,0.0,0.25,24.0
0.998,5.45707,0.0,0.25,25.0
0.998,5.48508,0.0,0.25,26.0
0.998,5.54446,0.0,0.25,27.0
0.998,5.57659,0.0,0.25,28.0
0.994,4.9855,0.0,0.25,29.0
0.998,5.61235,0.0,0.25,30.0
0.998,5.67267,0.0,0.25,31.0
0.998,5.724,0.0,0.25,32.0
0.996,4.98391,0.0,0.25,33.0
0.998,5.74208,0.0,0.25,34.0
